signal_id,sample_code,scs_label,Ignition_Temp,Spectral Centroid,SNR_raw,Spectral Bandwidth 5,Spectral Entropy 4,Spectral Centroid 3,Kurtosis,RMS value,Absorption Proxy,P2P,Wave Energy 3,Acoustic Velocity,Peak Time,Spectral Centroid 2,Dominant Frequency 1 peak,Spectral Bandwidth 3,Wave Entropy,P2P-TDB3,Peak Duration,Spectral Centroid 4,Dominant Frequency 2 peak
Moderate_C6_P1_03,C6,Moderate,346.884,4.452171775213906,24.471567983647446,0.07789078093242645,0.8726471158523266,0.6842717404262979,225.70667314451404,0.0022117341919326594,0.00433931106836383,0.0054570467173774406,1.9651227262471958e-11,1546.3917525773195,3.88e-06,0.4854555781670159,0.34456355283307805,0.05823508156511688,0.8863420457492436,6.96192699416129e-05,2.168197708164044e-06,0.8803221215724836,0.4594180704441041
Moderate_C6_P1_04,C6,Moderate,346.884,4.558353699022816,25.883629489229353,0.07479396938103929,0.89062441896752,0.6801363933184013,239.8957721641054,0.0021732971496114402,0.00429290079586533,0.00552783073010897,2.0860577477209888e-11,1515.151515151515,3.96e-06,0.48297619979135936,0.30627871362940273,0.05956419137842676,0.8954015449004147,7.279895138862026e-05,1.9453244433753073e-06,0.8902743636801436,0.4594180704441041
Moderate_C6_P1_05,C6,Moderate,346.884,4.475126484315591,25.11375212317575,0.07844822657684757,0.8825008375631597,0.6834212486339245,226.8527306029284,0.0022108281027504438,0.00438705688827237,0.00551080250063111,1.877016085278671e-11,1578.9473684210527,3.8e-06,0.48485116718259774,0.30627871362940273,0.059247243618010835,0.8929130961952986,9.490898544023312e-05,1.942998090035809e-06,0.8874217558076555,0.4594180704441041
Moderate_C6_P1_06,C6,Moderate,346.884,4.42926323276776,27.39054104255173,0.07993727752245436,0.8306600080940927,0.6781190785284953,236.49824441455416,0.0022536216054943464,0.00439707349384758,0.0055101347269260895,1.3649710631259645e-11,1515.151515151515,3.96e-06,0.4870951154629172,0.34456355283307805,0.05813521369810117,0.8944987519786366,7.271296747850371e-05,2.0578010220846276e-06,0.8759086157497293,0.4594180704441041
Moderate_C6_P1_07,C6,Moderate,346.884,4.447880884818325,24.734518744721747,0.07794947688337732,0.8829239134019874,0.6819005101788216,238.3696339271658,0.00225902051244756,0.00441310006276793,0.00550379087672846,1.828211693852258e-11,1546.3917525773195,3.88e-06,0.4867433867451369,0.30627871362940273,0.057652522934096395,0.8977805609035387,7.44803978628073e-05,2.063544678650203e-06,0.8834034363700137,0.4594180704441041
Moderate_C6_P1_08,C6,Moderate,346.884,4.4805455575855895,26.028670353002383,0.076161502490313,0.8450597806857671,0.6763714108159582,246.56406216822234,0.0022296639580633403,0.00435901039266176,0.0054870965341031,1.6100092512813632e-11,1485.148514851485,4.04e-06,0.48508609567224487,0.30627871362940273,0.060047663663182566,0.8998986228440332,6.99176363699062e-05,1.8453186392497467e-06,0.8779792316846624,0.4594180704441041
Moderate_C6_P1_09,C6,Moderate,346.884,4.447710626026176,25.646526198528584,0.07401196310185186,0.8605771069744707,0.6820999536172893,219.253930620085,0.002233885125956997,0.00442845885798325,0.00550546031099099,1.9180684617319824e-11,1546.3917525773195,3.88e-06,0.48384385166883553,0.30627871362940273,0.060152683406056846,0.8865042363828198,5.475312524423066e-05,1.8414189392032473e-06,0.8803260760662373,0.4594180704441041
Moderate_C6_P1_10,C6,Moderate,346.884,4.428264777985703,25.90649727007161,0.07883422288640039,0.8568056831599818,0.6774364927874693,240.046950308355,0.002281931744673928,0.00438772466197737,0.00549043540262816,1.7831490854421637e-11,1546.3917525773195,3.88e-06,0.482586965150965,0.30627871362940273,0.05923408214352247,0.8924610373542174,6.701006397207473e-05,1.9864532716944924e-06,0.8777702461279488,0.4594180704441041
Moderate_C6_P2_01,C6,Moderate,346.884,4.379856569771632,25.30129023204488,0.08028500011158435,0.7533597491865487,0.7034338811105065,286.37557516144113,0.0023939424868976403,0.00452762325317789,0.005498448687088344,4.042160425951716e-11,1428.5714285714287,4.2e-06,0.5110002645022851,0.2679938744257274,0.04909323260052215,0.9127945761934676,6.223485332691544e-05,8.688599760150445e-07,0.9299205203012134,0.5359877488514548
Moderate_C6_P2_02,C6,Moderate,346.884,4.364392957115096,24.33600830628373,0.07886968653401137,0.7753046455189458,0.704372091735566,269.747449155709,0.0023688916348377563,0.00447754022530181,0.00551147027433612,4.2194016837418e-11,1408.4507042253522,4.26e-06,0.5066576940222892,0.2679938744257274,0.0495286257829004,0.9049824531495816,8.363185470406861e-05,9.675866694096714e-07,0.926629590722295,0.5359877488514548
Moderate_C6_P2_03,C6,Moderate,346.884,4.397293042617125,24.957233306060647,0.07724535922801445,0.7640561010723019,0.7068421747041622,278.71247243354713,0.0023852402675621433,0.00451193057111005,0.0054987825739408495,4.516401749297174e-11,1435.4066985645934,4.18e-06,0.5168924058434937,0.2679938744257274,0.04933507527642454,0.9108102025461612,6.299114143051108e-05,9.006709597414587e-07,0.9281026435457158,0.5359877488514548
Moderate_C6_P2_04,C6,Moderate,346.884,4.355577536000927,23.255756475683683,0.07798262754599283,0.7765267163733407,0.7067210372403375,276.362854692702,0.0023791230474000994,0.00446151365638147,0.005412305879141493,4.275653635930797e-11,1435.4066985645934,4.18e-06,0.5112792883934406,0.22970903522205205,0.048209651792958906,0.9101928433709641,7.644911953115689e-05,8.799591398113374e-07,0.9280619823811622,0.5359877488514548
